seed,split,subject_id,F1,IoU,L1,EdgeLoss
3407,test42,test__m2-045-01,0.5151228941066807,0.3469128132302752,0.15799395740032196,0.31598448753356934
3407,test42,test__m2-046-01,0.6694571125131361,0.503145835289541,0.13178247213363647,0.31195998191833496
3407,test42,test__m2-047-01,0.6021554689289721,0.43077427821504644,0.11123477667570114,0.24534371495246887
3407,test42,test__m2-048-01,0.824529585127902,0.7014464802311663,0.10265171527862549,0.22386887669563293
3407,test42,test__m2-049-01,0.6659070624203525,0.49914593178827676,0.14279000461101532,0.30394136905670166
3407,test42,test__m2-050-01,0.7656724108317082,0.6203153988866357,0.1185947060585022,0.28106361627578735
3407,test42,test__m2-051-01,0.43263593516483717,0.27602772378881657,0.11510371416807175,0.2609546184539795
3407,test42,test__m2-052-01,0.6420089939870037,0.47276380413734453,0.09904897958040237,0.27814045548439026
3407,test42,test__m2-053-01,0.7513682714649145,0.6017533066746842,0.12220297008752823,0.2909974753856659
3407,test42,test__m2-054-01,0.576045946172429,0.40453970029722836,0.1576770842075348,0.29300808906555176
3407,test42,test__m2-055-01,0.5907464698662973,0.41919105202472,0.17801202833652496,0.3303287923336029
3407,test42,test__m2-056-01,0.756443073038894,0.6082898632452818,0.13153204321861267,0.28547853231430054
3407,test42,test__m2-057-01,0.7757591487151431,0.6336654653379468,0.11876494437456131,0.26755377650260925
3407,test42,test__m2-058-01,0.5610438525691254,0.38989642149332915,0.10369119793176651,0.27282726764678955
3407,test42,test__m2-059-01,0.46212863205994614,0.3004988854685276,0.10476687550544739,0.27903997898101807
3407,test42,test__m2-060-01,0.46583253127998164,0.3036386449183631,0.19042663276195526,0.3228166997432709
3407,test42,test__m2-061-01,0.6916344239508863,0.5286247487796358,0.12679950892925262,0.29512181878089905
3407,test42,test__m2-062-01,0.643712837422931,0.47461397201446487,0.15825490653514862,0.34204721450805664
3407,test42,test__m2-063-01,0.7999097167360795,0.6665412826779512,0.09881407022476196,0.2201184630393982
3407,test42,test__m2-064-01,0.7080794570761609,0.5480828220856794,0.09515190124511719,0.2427072376012802
2026,test42,test__m2-022-01,0.6986813619364739,0.536902601330733,0.10473949462175369,0.28248733282089233
2026,test42,test__m2-023-01,0.7493915424397724,0.5992215532443596,0.11174371838569641,0.3009741008281708
2026,test42,test__m2-024-01,0.6502849404726485,0.4817942393710623,0.08975542336702347,0.2521163821220398
2026,test42,test__m2-025-01,0.7778593771247715,0.6364728923704102,0.07753913849592209,0.22327777743339539
2026,test42,test__m2-026-01,0.713145457727864,0.5541772083025779,0.13790713250637054,0.33172714710235596
2026,test42,test__m2-027-01,0.8051066311227913,0.6737895213857588,0.09224524348974228,0.25904157757759094
2026,test42,test__m2-028-01,0.7128981496553055,0.5538785834737061,0.12522892653942108,0.3250002861022949
2026,test42,test__m2-029-01,0.7907884619174687,0.6539703244739429,0.09009003639221191,0.2728067934513092
2026,test42,test__m2-030-01,0.6750865344025876,0.5095325482998141,0.14034481346607208,0.35031598806381226
2026,test42,test__m2-031-01,0.7379486734869217,0.584721602033255,0.09354168176651001,0.2883356213569641
2026,test42,test__m2-033-01,0.5697940503431426,0.3983999999998955,0.16357068717479706,0.36737680435180664
2026,test42,test__m2-034-01,0.743995102452241,0.5923504788116887,0.13582319021224976,0.3237137198448181
2026,test42,test__m2-035-01,0.6970619849514742,0.5349924377833992,0.10378652811050415,0.30754920840263367
2026,test42,test__m2-036-01,0.7161342093383029,0.5577952263758124,0.09849002957344055,0.25205808877944946
2026,test42,test__m2-037-01,0.6384428031126833,0.46890634089573335,0.1339147537946701,0.31736886501312256
2026,test42,test__m2-038-01,0.755762981702232,0.6074107831449879,0.0981127917766571,0.2545703947544098
2026,test42,test__m2-039-01,0.5122669283610061,0.3443271767808831,0.12578028440475464,0.29785868525505066
2026,test42,test__m2-040-01,0.6844649229794724,0.5202939358558751,0.1136268600821495,0.28431791067123413
2026,test42,test__m2-041-01,0.6660749381853661,0.49933460076029806,0.11558100581169128,0.30324622988700867
2026,test42,test__m2-042-01,0.7731476827182133,0.6301880608019707,0.09328228235244751,0.23522105813026428
